time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-04 00:00:00+00:00,13,5,,
2025-06-05 00:00:00+00:00,11,4,,
2025-06-06 00:00:00+00:00,12,4,,
2025-06-07 00:00:00+00:00,11,3,,
2025-06-08 00:00:00+00:00,8,2,,
2025-06-09 00:00:00+00:00,14,5,,
2025-06-10 00:00:00+00:00,11,4,,
2025-06-11 00:00:00+00:00,10,4,,
2025-06-12 00:00:00+00:00,13,7,,
2025-06-13 00:00:00+00:00,11,5,,
2025-06-14 00:00:00+00:00,12,6,,
2025-06-15 00:00:00+00:00,12,6,,
2025-06-16 00:00:00+00:00,12,6,,
2025-06-17 00:00:00+00:00,1,1,,
