url_path,views_total,views_unique
/jgphpc/SPH-EXA/actions/metrics/usage,5,1
/jgphpc/SPH-EXA/actions/runs/14457473520/usage,4,1
/jgphpc/SPH-EXA/actions/metrics/performance,3,1
/jgphpc/SPH-EXA/actions/runs/14457473520,3,1
/jgphpc/SPH-EXA/actions/runs/15149584610,3,1
/jgphpc/SPH-EXA/actions/runs/15149584610/workflow,3,1
/jgphpc/SPH-EXA/actions/workflows/clang-format.yml,3,1
/jgphpc/SPH-EXA/actions/runs/14457473520/job/40543673848,2,1
/jgphpc/SPH-EXA/actions/runs/14457473520/workflow,2,1
/jgphpc/SPH-EXA/actions/runs/15149584610/job/42593073004,2,1
