url_path,views_total,views_unique
/jgphpc/SPH-EXA/tree/ci_update/ci/cuda12,4,2
/jgphpc/SPH-EXA,3,2
/jgphpc/SPH-EXA/blob/ci_update/ci/cuda12/run_debug_sm90.yml,3,2
/jgphpc/SPH-EXA/blob/ci_update/ci/cuda12/Dockerfile_2,2,2
/jgphpc/SPH-EXA/blob/ci_update/ci/common.yml,2,1
/jgphpc/SPH-EXA/blob/ci_update/ci/cscs.yml,2,1
/jgphpc/SPH-EXA/blob/ci_update/ci/cuda12/build_debug_sm90.yml,2,1
/jgphpc/SPH-EXA/tree/ci_update/ci,2,1
/jgphpc/SPH-EXA/blob/ci_update/ci/cuda12/build_release_sm90.yml,1,1
/jgphpc/SPH-EXA/tree/ci_update,1,1
