url_path,views_total,views_unique
/jgphpc/SPH-EXA/actions/runs/14391915415,5,1
/jgphpc/SPH-EXA/actions/workflows/clang-format.yml,4,1
/jgphpc/SPH-EXA/actions/workflows/unittest.yml,4,1
/jgphpc/SPH-EXA/actions/runs/14297486085,2,1
/jgphpc/SPH-EXA/actions/runs/14391915415/job/40371024203,2,1
/jgphpc/SPH-EXA/actions/runs/14391915415/workflow,2,1
/jgphpc/SPH-EXA,1,1
/jgphpc/SPH-EXA/actions/runs/14286611328,1,1
/jgphpc/SPH-EXA/actions/runs/14297486084,1,1
/jgphpc/SPH-EXA/actions/runs/14297486085/job/40066515060,1,1
