url_path,views_total,views_unique
/jgphpc/SPH-EXA/actions/runs/8697302606,4,1
/jgphpc/SPH-EXA/actions/runs/8697302606/job/23911961531,3,1
/jgphpc/SPH-EXA/actions/workflows/github-repo-stats.yml,3,1
/jgphpc/SPH-EXA,2,1
/jgphpc/SPH-EXA/actions,2,1
/jgphpc/SPH-EXA/blob/develop/.github/workflows/github-repo-stats.yml,2,1
/jgphpc/SPH-EXA/tree/github-repo-stats/.github/workflows,2,1
/jgphpc/SPH-EXA/actions/runs/8697302606/job/23852282796,1,1
/jgphpc/SPH-EXA/tree/develop,1,1
/jgphpc/SPH-EXA/tree/github-repo-stats,1,1
