time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-20 00:00:00+00:00,3,1,0,0
2024-09-23 00:00:00+00:00,1,1,0,0
2024-09-24 00:00:00+00:00,1,1,0,0
2024-09-25 00:00:00+00:00,1,1,0,0
2024-09-28 00:00:00+00:00,1,1,0,0
2024-09-30 00:00:00+00:00,2,2,0,0
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-04 00:00:00+00:00,3,2,0,0
2024-10-14 00:00:00+00:00,2,1,0,0
2024-10-15 00:00:00+00:00,2,1,0,0
2024-10-16 00:00:00+00:00,1,1,0,0
2024-10-18 00:00:00+00:00,3,2,0,0
2024-10-19 00:00:00+00:00,1,1,0,0
2024-10-20 00:00:00+00:00,2,2,0,0
